Termino,Repeticiones,Libro_Origen,Palabra,Num_Libros_Con_Termino,Es_Global,TFIDF_like,Saga,Mundo,Orden_Publicacion,Anio_Publicacion
Kaladin,9025,TOTAL,Kaladin,4,true,,,,,
Dalinar,7351,TOTAL,Dalinar,5,true,,,,,
Vin,6047,TOTAL,Vin,6,true,,,,,
Shallan,5554,TOTAL,Shallan,4,true,,,,,
Adolin,4350,TOTAL,Adolin,4,true,,,,,
Elend,4202,TOTAL,Elend,6,true,,,,,
Wax,3838,TOTAL,Wax,4,true,,,,,
Dalinar,3021,Juramentada,Dalinar,5,true,3110.4802593042787,El Archivo de las Tormentas,Roshar,3,2017
Wayne,2956,TOTAL,Wayne,4,true,,,,,
Kelsier,2804,TOTAL,Kelsier,7,true,,,,,
Navani,2775,TOTAL,Navani,4,true,,,,,
Marasi,2618,TOTAL,Marasi,4,true,,,,,
Sazed,2534,TOTAL,Sazed,5,true,,,,,
Kaladin,2525,El camino de los reyes,Kaladin,4,true,3163.226495450804,El Archivo de las Tormentas,Roshar,1,2010
Kaladin,2392,El Ritmo de la Guerra,Kaladin,4,true,2996.6090206409203,El Archivo de las Tormentas,Roshar,4,2020
Kaladin,2292,Palabras radiantes,Kaladin,4,true,2871.3327237913836,El Archivo de las Tormentas,Roshar,2,2014
Vin,2291,El Pozo de la Ascension,Vin,6,true,1941.1593981470837,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Shallan,2286,Palabras radiantes,Shallan,4,true,2863.8161459804114,El Archivo de las Tormentas,Roshar,2,2014
Vin,2258,El Imperio Final,Vin,6,true,1913.1985687543058,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Kelsier,2170,El Imperio Final,Kelsier,7,true,1504.1293818150812,Nacidos de la Bruma (Era 1),Scadrial,1,2006
Elend,2166,El Pozo de la Ascension,Elend,6,true,1835.247165598683,Nacidos de la Bruma (Era 1),Scadrial,2,2007
Jasnah,2074,TOTAL,Jasnah,4,true,,,,,
Kaladin,1816,Juramentada,Kaladin,4,true,2275.0175507875883,El Archivo de las Tormentas,Roshar,3,2017
Dalinar,1733,El camino de los reyes,Dalinar,5,true,1784.330449974947,El Archivo de las Tormentas,Roshar,1,2010
Navani,1613,El Ritmo de la Guerra,Navani,4,true,2020.7066681830286,El Archivo de las Tormentas,Roshar,4,2020
Venli,1601,TOTAL,Venli,3,true,,,,,
Elend,1543,El Heroe de las Eras,Elend,6,true,1307.3805985774552,Nacidos de la Bruma (Era 1),Scadrial,3,2008
